"","SYMBOL"
"1021","DNMT3A"
"1022","DTNB"
"1023","ASXL2"
"1024","RAB10"
"1025","LOC105374333"
"1026","RMDN2"
"1027","RMDN2-AS1"
"1028","LOC107985872"
"1029","CYP1B1"
"1030","CYP1B1-AS1"
"1031","MAP4K3"
"1032","HNRNPA1P57"
"1033","CAMKMT"
"1034","PRKCE"
"1035","EPAS1"
"1036","NRXN1"
"1037","LOC730100"
"1038","LOC105374674"
"1039","WDPCP"
"1040","DNAAF10"
"1041","ARHGAP25"
"1042","ANTXR1"
"1043","C2orf42"
"1044","DYSF"
"1045","LOC105374798"
"1046","LRRTM4"
"1047","LOC101927967"
"1048","LOC101927948"
"1049","CTNNA2"
"1050","LOC107985905"
"1051","DNAH6"
"1052","LOC105374838"
"1053","KCMF1"
"1054","RMND5A"
"1055","RNF103-CHMP3"
"1056","NCK2"
"1057","CNTNAP5"
"1058","FAR2P1"
"1059","CCDC74B"
"1060","ACMSD"
"1061","CCNT2-AS1"
"1062","ZRANB3"
"1063","R3HDM1"
"1064","MIR128-1"
"1065","UBXN4"
"1066","LOC107985946"
"1067","GTDC1"
"1068","ACVR2A"
"1069","ORC4"
"1070","MBD5"
"1071","LOC105373673"
"1072","EPC2"
"1073","MMADHC-DT"
"1074","NMI"
"1075","LOC101929319"
"1076","RIF1"
"1077","NEB"
"1078","CACNB4"
"1079","FMNL2"
"1080","RPL23AP29"
"1081","LOC107985953"
"1082","TANC1"
"1083","METTL8"
"1084","LOC107985960"
"1085","LOC105373742"
"1086","NFE2L2"
"1087","MIR3128"
"1088","LOC100130691"
"1089","PDE11A"
"1090","PDE11A-AS1"
"1091","ITGA4"
"1092","ITPRID2-DT"
"1093","PDE1A"
"1094","LOC105373776"
"1095","LOC102724340"
"1096","ZNF804A"
"1097","FSIP2-AS2"
"1098","FSIP2"
"1099","FSIP2-AS1"
"1100","LOC107985782"
"1101","LOC107985783"
"1102","LINC01473"
"1103","ZC3H15"
"1104","DPRXP1"
"1105","ITGAV"
"1106","ZSWIM2"
"1107","COL5A2"
"1108","LOC101927252"
"1109","LINC01821"
"1110","LOC105373816"
"1111","LOC105376755"
"1112","HECW2"
"1113","CCDC150"
"1114","ANKRD44"
"1115","RFTN2"
"1116","PLCL1"
"1117","FAM117B"
"1118","WDR12"
"1119","LOC105373847"
"1120","NDUFS1"
"1121","DYTN"
"1122","VPS26CP1"
"1123","METTL21A"
"1124","PTH2R"
"1125","SCYGR7"
"1126","CCL20"
"1127","TRPM8"
"1128","KIF1A"
"1129","FARP2"
"1130","STK25"
"1131","PTPRA"
"1132","MAVS"
"1133","SHLD1"
"1134","PLCB1"
"1135","LOC105372521"
"1136","SNAP25-AS1"
"1137","SNAP25"
"1138","SLX4IP"
"1139","FAT1P1"
"1140","LOC101929413"
"1141","LOC105372528"
"1142","LOC105372529"
"1143","LINC00687"
"1144","LOC105372531"
"1145","MACROD2"
"1146","RNA5SP475"
"1147","BANF2"
"1148","LOC105372547"
"1149","JPH2"
"1150","RNU7-92P"
"1151","SNRPFP1"
"1152","SNAI1"
"1153","PELATON"
"1154","LOC107985386"
"1155","LOC105372656"
"1156","NFATC2"
"1157","MIR3194"
"1158","TSHZ2"
"1159","PCK1"
"1160","APCDD1L"
"1161","CDH4"
"1162","GATA5"
"1163","LOC105372711"
"1164","GMEB2"
"1165","ZGPAT"
"1166","SAMD10"
"1167","ZNF512B"
"1168","LOC105379484"
"1169","LOC102724354"
"1170","CH507-42P11.6"
"1171","TEKT4P2"
"1172","LINC01667"
"1173","POTED"
"1174","LINC02246"
"1175","APP"
"1176","RUNX1"
"1177","LCA5L"
"1178","GET1"
"1179","GET1-SH3BGR"
"1180","SLC37A1"
"1181","LOC107987299"
"1182","SLC19A1"
"1183","FTCD"
"1184","COL6A2"
"1185","ADA2"
"1186","PEX26"
"1187","ARL2BPP10"
"1188","SCARF2"
"1189","MED15"
"1190","CCDC74BP1"
"1191","LINC01638"
"1192","PITPNB"
"1193","TTC28"
"1194","SYN3"
"1195","FBLN1"
"1196","CELSR1"
"1197","FAM136EP"
"1198","GRAMD4"
"1199","CERK"
"1200","EPIC1"
"1201","LOC284930"
"1202","LINC01310"
"1203","CNTN6"
"1204","RPL21P17"
"1205","LOC105376942"
"1206","GRM7"
"1207","LMCD1-AS1"
"1208","PGAM1P4"
"1209","THUMPD3-AS1"
"1210","SRGAP3"
"1211","LHFPL4"
"1212","ATP2B2"
"1213","HRH1"
"1214","ATG7"
"1215","TSEN2"
"1216","IQSEC1"
"1217","LOC105376956"
"1218","RARB"
"1219","RBMS3"
"1220","TGFBR2"
"1221","LOC105377016"
"1222","GADL1"
"1223","OSBPL10"
"1224","GPD1L"
"1225","CMTM8"
"1226","GLB1"
"1227","TMPPE"
"1228","ITGA9"
"1229","ITGA9-AS1"
"1230","OXSR1"
"1231","SCN11A"
"1232","MYRIP"
"1233","EIF1B-AS1"
"1234","ULK4"
"1235","CDCP1"
"1236","KIF9-AS1"
"1237","CDC25A"
"1238","ZNF589"
"1239","MRPS18AP1"
"1240","ARIH2"
"1241","ARIH2OS"
"1242","LAMB2"
"1243","AMT"
"1244","NICN1"
"1245","DAG1"
"1246","BSN"
"1247","GMPPB"
"1248","IP6K1"
"1249","RNF123"
"1250","CACNA2D3"
"1251","DNAH12"
"1252","ASB14"
"1253","FLNB"
"1254","ABHD6"
"1255","PXK"
"1256","FHIT"
"1257","LOC105377119"
"1258","PRICKLE2"
"1259","MAGI1"
"1260","SUCLG2-DT"
"1261","TAFA1"
"1262","LOC107986019"
"1263","TAFA4"
"1264","LMOD3"
"1265","FRMD4B"
"1266","MITF"
"1267","SAMMSON"
"1268","LINC00877"
"1269","LOC105377158"
"1270","ROBO2"
"1271","LOC105377171"
"1272","ROBO1"
"1273","LOC101927374"
"1274","OSBPL9P1"
"1275","LOC105377177"
"1276","GBE1"
"1277","LINC02008"
"1278","CD96"
"1279","CD200R1"
"1280","ITGB5"
"1281","SLC12A8"
"1282","ZNF148"
"1283","SNX4"
"1284","SLC41A3"
"1285","COL6A5"
"1286","CPNE4"
"1287","NPHP3-AS1"
"1288","TMEM108"
"1289","CDV3"
"1290","INHCAP"
"1291","TF"
"1292","STAG1"
"1293","MRPS22"
"1294","COPB2-DT"
"1295","RBP2"
"1296","NMNAT3"
"1297","CLSTN2"
"1298","LOC105374132"
"1299","SPSB4"
"1300","LINC02618"
"1301","TPT1P3"
"1302","PLSCR4"
"1303","LOC105374145"
"1304","LOC105374170"
"1305","PLCH1"
"1306","SLC33A1"
"1307","LOC105374174"
"1308","GMPS"
"1309","KCNAB1"
"1310","SLC66A1L"
"1311","RSRC1"
"1312","RARRES1"
"1313","GPR79"
"1314","LOC105374181"
"1315","IQCJ"
"1316","IQCJ-SCHIP1"
"1317","PPM1L"
"1318","EGFEM1P"
"1319","SLC7A14-AS1"
"1320","NLGN1"
"1321","NAALADL2"
"1322","LINC01208"
"1323","LOC105374229"
"1324","LINC01209"
"1325","ATP11B-DT"
"1326","MCF2L2"
"1327","CLDN16"
"1328","IL1RAP"
"1329","FGF12"
"1330","MB21D2"
"1331","LOC102724877"
"1332","LINC02048"
"1333","LRCH3"
"1334","IQCG"
"1335","ALG1L7P"
"1336","FAM86EP"
"1337","LOC105374358"
"1338","STX18-AS1"
"1339","LOC101928237"
"1340","MSX1"
"1341","LOC101928306"
"1342","CYTL1"
"1343","STK32B"
"1344","EVC2"
"1345","EVC"
"1346","LOC105374365"
"1347","FAM90A26"
"1348","OR7E84P"
"1349","LOC105374515"
"1350","KCNIP4"
"1351","ADGRA3"
"1352","PPARGC1A"
"1353","HNRNPA1P65"
"1354","LINC02505"
"1355","LINC02616"
"1356","NFXL1"
"1357","LOC101927179"
"1358","TXK"
"1359","RNU6-838P"
"1360","U6"
"1361","FRYL"
"1362","CLOCK"
"1363","TMEM165"
"1364","AASDH"
"1365","MOB1B"
"1366","SEPTIN11"
"1367","LOC105377291"
"1368","LOC105377302"
"1369","RASGEF1B"
"1370","SLC39A8"
"1371","LOC105377621"
"1372","NFKB1"
"1373","LOC105377347"
"1374","LINC02428"
"1375","TACR3"
"1376","TACR3-AS1"
"1377","CUL4AP1"
"1378","TRAM1L1"
"1379","LOC105377388"
"1380","LINC02263"
"1381","LINC01378"
"1382","NDST3"
"1383","LOC107986307"
"1384","LOC105377392"
"1385","METTL14"
"1386","SEC24D"
"1387","LOC112268469"
"1388","KIAA1109"
"1389","INTU"
"1390","LINC02377"
"1391","LINC01256"
"1392","MAML3"
"1393","SCOC"
"1394","UCP1"
"1395","ELMOD2"
"1396","INPP4B"
"1397","ARHGAP10"
"1398","RN7SL254P"
"1399","NR3C2"
"1400","LOC107986195"
"1401","LINC02355"
"1402","IQCM"
"1403","RNA5SP167"
"1404","LRBA"
"1405","PRSS48"
"1406","SH3D19"
"1407","CPE"
"1408","TLL1"
"1409","LINC02269"
"1410","LOC107986205"
"1411","TENM3"
"1412","WWC2"
"1413","PRIMPOL"
"1414","FAT1"
"1415","CTD-2194D22.4"
"1416","ADCY2"
"1417","LINC02221"
"1418","LINC02112"
"1419","TAS2R1"
"1420","LMBRD2"
"1421","WDR70"
"1422","ITGA1"
"1423","B3GNTL1P1"
"1424","CWC27"
"1425","SREK1IP1"
"1426","LOC105379015"
"1427","MCCC2"
"1428","SV2C"
"1429","S100Z"
"1430","THBS4"
"1431","LOC105379062"
"1432","LINC02161"
"1433","LOC731157"
"1434","ADGRV1"
"1435","LOC105379082"
"1436","FAM172A"
"1437","LOC105379087"
"1438","KIAA0825"
"1439","MCTP1"
"1440","LOC105379085"
"1441","LOC105379089"
"1442","FAM81B"
"1443","RTRAFP2"
"1444","ARSK"
"1445","RHOBTB3"
"1446","HSPD1P11"
"1447","GLRX"
"1448","ELL2"
"1449","LOC101929710"
"1450","LOC105379096"
"1451","MIR583HG"
"1452","LOC105379107"
"1453","LOC105379109"
"1454","LOC105379110"
"1455","LINC01950"
"1456","FBXL17"
"1457","STARD4-AS1"
"1458","EPB41L4A"
"1459","LINC02200"
"1460","LOC102467216"
"1461","MCC"
"1462","AP3S1"
"1463","ATG12"
"1464","LINC02147"
"1465","LINC02208"
"1466","ALDH7A1"
"1467","SELENOTP2"
"1468","ADRB2"
"1469","SH3TC2"
"1470","NDST1"
"1471","SLC36A2"
"1472","LOC105378234"
"1473","SLC36A1"
"1474","FABP6"
"1475","FABP6-AS1"
"1476","LINC03000"
"1477","LOC105377703"
"1478","LCP2"
"1479","KCNIP1"
"1480","GABRP"
"1481","LOC107986475"
"1482","RANBP17"
"1483","TLX3"
"1484","LOC105377721"
"1485","FBXW11"
"1486","STK10"
"1487","LOC107986477"
"1488","UBTD2"
"1489","KLF3P1"
"1490","SH3PXD2B"
"1491","MAPK9"
"1492","GFPT2"
"1493","LINC01622"
"1494","FARS2"
"1495","OFCC1"
"1496","GCNT2"
"1497","C6orf52"
"1498","PAK1IP1"
"1499","LOC105374923"
"1500","LOC105374924"
"1501","TMEM14C"
"1502","MAK"
"1503","TMEM14B"
"1504","ELOVL2"
"1505","ELOVL2-AS1"
"1506","PHACTR1"
"1507","RPL5P20"
"1508","LNC-LBCS"
"1509","CASC15"
"1510","DCDC2"
"1511","KIAA0319"
"1512","RIPOR2"
"1513","CMAHP"
"1514","HLA-H"
"1515","HCG27"
"1516","NUDT3"
"1517","RPS10-NUDT3"
"1518","RUNX2"
"1519","CLIC5"
"1520","LOC105375078"
"1521","RCAN2"
"1522","LOC101926915"
"1523","ADGRF5"
"1524","LOC105375080"
"1525","TNFRSF21"
"1526","LOC105375085"
"1527","LOC105377841"
"1528","TTK"
"1529","ME1"
"1530","LOC101928911"
"1531","LOC105377884"
"1532","GRIK2"
"1533","POPDC3"
"1534","BVES-AS1"
"1535","HDAC2"
"1536","HS3ST5"
"1537","HDAC2-AS2"
"1538","LOC105377959"
"1539","FRK"
"1540","HSF2"
"1541","YWHAZP4"
"1542","LOC107986641"
"1543","LAMA2"
"1544","ARFGEF3"
"1545","NHSL1"
"1546","LINC02941"
"1547","LOC107986652"
"1548","LOC105378027"
"1549","LOC105378031"
"1550","NMBR"
"1551","ADGRG6"
"1552","UST"
"1553","ZBTB2"
"1554","ESR1"
"1555","LOC105378066"
"1556","OPRM1"
"1557","TIAM2"
"1558","TFB1M"
"1559","SNX9"
"1560","SYNJ2"
"1561","MAS1"
"1562","MAP3K4"
"1563","PRKN"
"1564","LOC105378149"
"1565","PRKAR1B"
"1566","DNAAF5"
"1567","SUN1"
"1568","C7orf50"
"1569","GPR146"
"1570","LOC105375133"
"1571","CYTH3"
"1572","DAGLB"
"1573","KDELR2"
"1574","GRID2IP"
"1575","LOC101927325"
"1576","LOC107986770"
"1577","DGKB"
"1578","GTF3AP5"
"1579","AHR"
"1580","LOC101927609"
"1581","ABCB5"
"1582","ASS1P11"
"1583","RN7SL542P"
"1584","CDCA7L"
"1585","TAX1BP1"
"1586","TAX1BP1-AS1"
"1587","ZNRF2"
"1588","PDE1C"
"1589","RP9P"
"1590","NT5C3A"
"1591","ADCY1"
"1592","IKZF1"
"1593","FIGNL1"
"1594","DDC"
"1595","GRB10"
"1596","ZNF734P"
"1597","MIR4283-2"
"1598","LOC105375340"
"1599","LOC105375344"
"1600","AUTS2"
"1601","TYW1B"
"1602","STX1A"
"1603","SPDYE12"
"1604","PMS2P5"
"1605","RCC1L"
"1606","CASTOR2"
"1607","SPDYE14"
"1608","CCDC146"
"1609","LOC105375359"
"1610","LOC102723791"
"1611","GCNT1P5"
"1612","MAGI2"
"1613","MAGI2-AS2"
"1614","LOC105375366"
"1615","GNAI1"
"1616","LOC105375371"
"1617","CACNA2D1"
"1618","CACNA2D1-AS1"
"1619","GNGT1"
"1620","GNG11"
"1621","LOC105375402"
"1622","COL1A2"
"1623","PPP1R9A"
"1624","PON2"
"1625","BAIAP2L1"
"1626","BRI3"
"1627","STAG3"
"1628","CASTOR3"
"1629","CLDN15"
"1630","MYL10"
"1631","LHFPL3"
"1632","CDHR3"
"1633","LOC105375451"
"1634","IMMP2L"
"1635","DOCK4"
"1636","LOC102724407"
"1637","COMETT"
"1638","GRM8"
"1639","FSCN3"
"1640","PAX4"
"1641","SND1"
"1642","LRRC4"
"1643","LOC105375494"
"1644","LOC101928451"
"1645","GARIN1A"
"1646","FAM71F2"
"1647","LOC107986849"
"1648","CAPZA1P4"
"1649","PLXNA4"
"1650","LOC102724906"
"1651","LOC105375511"
"1652","FLJ40288"
"1653","CHCHD3"
"1654","LOC105375512"
"1655","EXOC4"
"1656","LOC105375513"
"1657","LOC105375514"
"1658","LRGUK"
"1659","LOC105375523"
"1660","CHRM2"
"1661","MIR490"
"1662","LOC349160"
"1663","DGKI"
"1664","SLC37A3"
"1665","TCAF2P1"
"1666","OR2F1"
"1667","OR2F2"
"1668","OR2A12"
"1669","LOC105375548"
"1670","NOBOX"
"1671","PPIAP83"
"1672","CNTNAP2"
"1673","DPP6"
"1674","PAXIP1"
"1675","PAXIP1-DT"
"1676","HTR5A"
"1677","LOC105375586"
"1678","LOC389602"
"1679","MCPH1"
"1680","ENPP7P1"
"1681","FAM85B"
"1682","PPP1R3B-DT"
"1683","LOC101929128"
"1684","BLK"
"1685","LOC105379241"
"1686","ENPP7P6"
"1687","LOC100506990"
"1688","SLC7A2"
"1689","PSD3"
"1690","LOC105379301"
"1691","CSGALNACT1"
"1692","SORBS3"
"1693","PDLIM2"
"1694","CCAR2"
"1695","BIN3"
"1696","PEBP4"
"1697","LOC107986925"
"1698","LOC107986930"
"1699","LOC105379336"
"1700","LOC105379335"
"1701","DPYSL2"
"1702","LOC105379340"
"1703","TRIM35"
"1704","PTK2B"
"1705","MIR6842"
"1706","CHRNA2"
"1707","SCARA3"
"1708","ELP3"
"1709","FBXO16"
"1710","LINC01605"
"1711","ADAM9"
"1712","TGS1"
"1713","PLAG1"
"1714","SDR16C6P"
"1715","LOC105375849"
"1716","RPL37P6"
"1717","LOC105375851"
"1718","LOC101929488"
"1719","LOC105375855"
"1720","LINC03018"
"1721","LOC286178"
"1722","LINC01602"
"1723","LOC105375856"
"1724","FAM110B"
"1725","TOX"
"1726","LOC101927118"
"1727","LINC00534"
"1728","LOC107986955"
"1729","LINC01030"
"1730","SLC26A7"
"1731","RUNX1T1"
"1732","MTDH"
"1733","PABPC1"
"1734","NCALD"
"1735","LOC104054148"
"1736","CSMD3"
"1737","SAMD12"
"1738","SAMD12-AS1"
"1739","RNU6-12P"
"1740","COLEC10"
"1741","TAF2"
"1742","DERL1"
"1743","TBC1D31"
"1744","FAM83A"
"1745","ANXA13"
"1746","LINC02964"
"1747","LOC105375746"
"1748","PVT1"
"1749","TMEM71"
"1750","ZFAT"
"1751","NCRNA00250"
"1752","LOC101927845"
"1753","KHDRBS3"
"1754","KCNK9"
"1755","TRAPPC9"
"1756","LOC107986981"
"1757","LOC105375781"
"1758","PEG13"
"1759","PTK2"
"1760","MIR151A"
"1761","SLC45A4"
"1762","MROH5"
"1763","ADGRB1"
"1764","LYPD2"
"1765","DOCK8"
"1766","LOC105375951"
"1767","LURAP1L"
"1768","BNC2"
"1769","CNTLN"
"1770","MLLT3"
"1771","LINC01239"
"1772","LINGO2"
"1773","UBE2R2"
"1774","UBAP2"
"1775","ZCCHC7"
"1776","LOC107987065"
"1777","FAM242F"
"1778","CNTNAP3P7"
"1779","CNTNAP3P2"
"1780","GCNT1"
"1781","LOC107987084"
"1782","FRMD3"
"1783","FRMD3-AS1"
"1784","GKAP1"
"1785","KIF27"
"1786","LOC101927552"
"1787","C9orf64"
"1788","RMI1"
"1789","FANCC"
"1790","LOC105376156"
"1791","GABBR2"
"1792","STX17-DT"
"1793","LOC101928438"
"1794","NR4A3"
"1795","STX17"
"1796","ERP44"
"1797","INVS"
"1798","RN7SL75P"
"1799","TMEFF1"
"1800","MSANTD3-TMEFF1"
"1801","OR13C8"
"1802","OR13C5"
"1803","OR13C2"
"1804","OR13C9"
"1805","FSD1L"
"1806","KIAA1958"
"1807","LHX2-AS1"
"1808","LHX2"
"1809","LOC100505588"
"1810","LOC105376267"
"1811","LINC02975"
"1812","LOC101929331"
"1813","LOC107987133"
"1814","LOC105376292"
"1815","VAV2"
"1816","LOC105376314"
"1817","OLFM1"
"1818","CAMSAP1"
"1819","C9orf163"
"1820","NOTCH1"
"1821","TRAF2"
"1822","FUT7"
"1823","ABCA2"
"1824","LINC02908"
"1825","ANAPC2"
"1826","TMEM210"
"1827","LOC101927555"
"1828","CSF2RA"
"1829","MIR3690"
"1830","LOC112268304"
"1831","SLC25A6"
"1832","LINC00106"
"1833","LOC105373102"
"1834","P2RY8"
"1835","AKAP17A"
"1836","ASMT"
"1837","ARSL"
"1838","ARSF"
"1839","RPS24P21"
"1840","NLGN4X"
"1841","PUDP"
"1842","TBL1X"
"1843","FRMPD4"
"1844","CA5B"
"1845","CA5BP1-CA5B"
"1846","RNU5F-7P"
"1847","SETP15"
"1848","PTCHD1-AS"
"1849","KLHL15"
"1850","DMD"
"1851","LOC105373184"
"1852","CASK"
"1853","MAOA"
"1854","MAOB"
"1855","KDM6A"
"1856","DIPK2B"
"1857","SHROOM4"
"1858","LINC01284"
"1859","LINC01496"
"1860","SSX2B"
"1861","GPR173"
"1862","ITIH6"
"1863","KLF8"
"1864","UBQLN2"
"1865","NBDY"
"1866","FAAH2"
"1867","MDH1P1"
"1868","MTND2P25"
"1869","MTND1P31"
"1870","ZFRP1"
"1871","ARHGEF9"
"1872","HNRNPDP1"
"1873","MTMR8"
"1874","ZC3H12B"
"1875","LAS1L"
"1876","AR"
"1877","OPHN1"
"1878","STARD8"
"1879","EDA"
"1880","ATRX"
"1881","CHMP1B2P"
"1882","RPS29P28"
"1883","LOC105373294"
"1884","DIAPH2"
"1885","NOX1"
"1886","XKRX"
"1887","TMEM35A"
"1888","TRMT2B-AS1"
"1889","NXF5"
"1890","FOXN3P1"
"1891","NXF4"
"1892","BHLHB9"
"1893","ARMCX5-GPRASP2"
"1894","IL1RAPL2"
"1895","LOC105373303"
"1896","NRK"
"1897","LOC105373304"
"1898","RADX"
"1899","HSPA8P20"
"1900","STAG2"
"1901","LOC101928495"
"1902","DCAF12L1"
"1903","LOC107985698"
"1904","STK26"
"1905","WDR4P1"
"1906","CT45A1"
"1907","VGLL1"
"1908","RPL7P56"
"1909","FGF13"
"1910","FGF13-AS1"
"1911","AFF2"
"1912","MAGEA11"
"1913","CD99L2"
"1914","MTMR1"
"1915","VMA21"
"1916","PASD1"
"1917","RPS4Y1"
"1918","XGY2"
"1919","ZFY"
"1920","ZFY-AS1"
"1921","LOC105377227"
"1922","PCDH11Y"
"1923","EIF4A1P2"
"1924","GOT2P5"
"1925","TBL1Y"
"1926","AMELY"
"1927","PRKY"
"1928","TSPY12P"
"1929","TTTY12"
"1930","RFTN1P1"
"1931","LOC107987339"
"1932","ZNF92P1Y"
"1933","LOC105377229"
"1934","ZNF736P8Y"
"1935","MTND1P1"
"1936","MTND2P3"
"1937","TRIM60P3Y"
"1938","LOC105377231"
"1939","LINC00279"
"1940","RBMY2QP"
"1941","RNA5-8SP6"
"1942","DUX4L16"
"1943","ASS1P6"
"1944","MXRA5Y"
"1945","GYG2P1"
"1946","ARSLP1"
"1947","ARSDP1"
"1948","LOC107987343"
"1949","USP9Y"
"1950","SFPQP1"
"1951","ANOS2P"
"1952","NLGN4Y"
"1953","NLGN4Y-AS1"
"1954","CYCSP46"
"1955","LOC107987355"
"1956","PUDPP1"
"1957","SURF6P1"
"1958","TTTY14"
"1959","BCORP1"
"1960","KDM5D"
"1961","LOC105377224"
"1962","TTTY10"
"1963","EIF1AY"
"1964","LOC105377225"
"1965","LOC107987347"
"1966","LOC105377236"
"1967","TTTY5"
"1968","TSPY22P"
"1969","CCNQP2"
"1970","PARP4P1"
